id,campaign_id,campaign_name,created_time,status,json,created_at,updated_at,account_id
199319,23853994589170070,Event: Holi Milan #88q|8p7-sg92_phase2_holi event,2023-03-04 05:54:32+00:00,PAUSED,"{'id': '23853994589170070', 'name': 'Event: Holi Milan #88q|8p7-sg92_phase2_holi event', 'objective': 'EVENT_RESPONSES', 'stop_time': '2023-03-05T11:25:02+0530', 'start_time': '2023-03-04T11:25:02+0530', 'buying_type': 'AUCTION', 'bid_strategy': 'LOWEST_COST_WITHOUT_CAP', 'created_time': '2023-03-04T11:24:32+0530', 'updated_time': '2023-03-07T16:09:08+0530', 'lifetime_budget': '300000', 'budget_remaining': '0', 'effective_status': 'PAUSED', 'configured_status': 'PAUSED', 'source_campaign_id': '0'}",2023-07-27 00:20:22.872952+00:00,2023-07-27 00:20:22.872952+00:00,338944120605044
199322,23853749749980070,Event: Signature Global News Paper Ad 11-Feb 23 #82h|8ir-sg92_phase 2_newspaper ad,2023-02-10 12:12:06+00:00,PAUSED,"{'id': '23853749749980070', 'name': 'Event: Signature Global News Paper Ad 11-Feb 23 #82h|8ir-sg92_phase 2_newspaper ad', 'objective': 'EVENT_RESPONSES', 'stop_time': '2023-02-12T00:00:00+0530', 'start_time': '2023-02-10T17:42:36+0530', 'buying_type': 'AUCTION', 'bid_strategy': 'LOWEST_COST_WITHOUT_CAP', 'created_time': '2023-02-10T17:42:06+0530', 'updated_time': '2023-02-17T18:21:08+0530', 'lifetime_budget': '300000', 'budget_remaining': '0', 'effective_status': 'PAUSED', 'configured_status': 'PAUSED', 'source_campaign_id': '0'}",2023-07-27 00:20:22.873821+00:00,2023-07-27 00:20:22.873821+00:00,338944120605044
199325,23853528689910070,CP Teaser 20-Jan-23 Leadgen #7vx|8c1-cp_teaser_92 – Copy,2023-01-20 09:38:10+00:00,PAUSED,"{'id': '23853528689910070', 'name': 'CP Teaser 20-Jan-23 Leadgen #7vx|8c1-cp_teaser_92 – Copy', 'objective': 'LEAD_GENERATION', 'start_time': '2023-01-20T15:08:11+0530', 'buying_type': 'AUCTION', 'bid_strategy': 'LOWEST_COST_WITHOUT_CAP', 'created_time': '2023-01-20T15:08:10+0530', 'daily_budget': '200000', 'updated_time': '2023-03-06T15:07:25+0530', 'budget_remaining': '200000', 'effective_status': 'PAUSED', 'configured_status': 'PAUSED', 'source_campaign_id': '23853517545900070'}",2023-07-27 00:20:22.874659+00:00,2023-07-27 00:20:22.874659+00:00,338944120605044
201025,23852414062080673,CP Teaser 14-Jan23 #7vx|8c1-cp_teaser_92,2023-01-14 13:47:41+00:00,PAUSED,"{'id': '23852414062080673', 'name': 'CP Teaser 14-Jan23 #7vx|8c1-cp_teaser_92', 'objective': 'OUTCOME_AWARENESS', 'start_time': '2023-01-14T19:17:42+0530', 'buying_type': 'AUCTION', 'bid_strategy': 'LOWEST_COST_WITHOUT_CAP', 'created_time': '2023-01-14T19:17:41+0530', 'daily_budget': '100000', 'updated_time': '2023-01-19T16:10:22+0530', 'budget_remaining': '100000', 'effective_status': 'PAUSED', 'configured_status': 'PAUSED', 'source_campaign_id': '0'}",2023-07-27 00:22:18.422186+00:00,2023-07-27 00:22:18.422186+00:00,528034467942989
