id,assignment_id,date,spends_key,spends,created_at,updated_at,auto,config_id,asem_id,is_derived,status
149797,1167,2020-06-10,search_ri,,2020-06-09 19:37:33.696859,2022-10-19 12:53:30.546041,google,1541,1226,,
154174,1167,2020-07-27,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
150441,1167,2020-06-19,youtube_ri,282,2020-06-18 19:37:35.889869,2020-06-19 19:37:26.518662,google,3302,1226,,
141771,1167,2020-02-25,leadgen_ri,19643,2020-02-24 18:40:32.488796,2020-02-26 12:41:35.236123,facebook,1758,1226,,
141772,1167,2020-02-25,leadgen_ri_custom,1938,2020-02-24 18:40:32.488796,2020-02-26 08:41:10.846292,facebook,2462,1226,,
142376,1167,2020-02-28,pertinax_sms,,2020-02-28 07:45:14.858049,2020-03-02 07:27:17.976217,false,2465,1226,,
142368,1167,2020-02-27,rke_cpql,19800,2020-02-28 05:52:08.281740,2020-03-09 07:00:09.910543,false,2461,1226,,
142367,1167,2020-02-06,rke_cpql,9000,2020-02-28 05:52:08.281740,2020-02-28 05:52:08.281740,false,2461,1226,,
142172,1167,2020-02-21,rke_cpql,16200,2020-02-27 06:31:52.247725,2020-02-28 05:52:08.281740,false,2461,1226,,
142043,1167,2020-02-26,rke_cpql,,2020-02-26 09:02:17.065962,2020-02-28 05:52:08.281740,false,2461,1226,,
142366,1167,2020-02-28,sms,16500,2020-02-28 05:41:06.460808,2020-03-02 07:27:17.976217,false,141,1226,,
156489,1167,2020-08-27,search_ri,,2020-08-26 19:39:31.691574,2022-05-29 21:25:05.495600,google,1541,1226,,
160883,1167,2020-09-19,sms,23250,2020-09-22 04:52:50.389746,2021-02-19 07:53:16.514154,false,141,1226,,
154175,1167,2020-07-28,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
207894,1167,2021-06-23,search_nri,,2021-06-23 00:37:46.179354,2022-05-29 21:25:05.495600,google,3357,1226,,
166276,1167,2020-10-25,leadgen_ri,8944,2020-10-24 20:44:18.113746,2020-10-26 12:41:52.557749,facebook,1758,1226,,
150446,1167,2020-06-19,leadgen_ri,9780,2020-06-18 19:39:57.246391,2020-06-20 03:39:22.216965,facebook,1758,1226,,
150505,1167,2020-06-20,leadgen_ri,9970,2020-06-19 19:39:44.658833,2020-06-20 19:39:26.013743,facebook,1758,1226,,
149883,1167,2020-06-11,search_ri,,2020-06-10 19:37:37.402116,2022-10-19 12:53:30.546041,google,1541,1226,,
154109,1167,2020-08-06,brand_project,,2020-08-05 19:37:10.869822,2020-11-20 07:08:00.359013,google,3301,1226,,
154165,1167,2020-08-06,search_nri,,2020-08-05 21:37:02.946147,2020-08-05 21:37:02.946147,google,3357,1226,,
150440,1167,2020-06-19,search_ri,,2020-06-18 19:37:35.889869,2022-10-19 12:53:30.546041,google,1541,1226,,
154110,1167,2020-08-06,gdn_ri,990,2020-08-05 19:37:10.869822,2020-08-08 23:37:02.992415,google,3336,1226,,
154176,1167,2020-07-29,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
150498,1167,2020-06-20,search_ri,,2020-06-19 19:37:26.518662,2022-10-19 12:53:30.546041,google,1541,1226,,
151566,1167,2020-07-04,youtube_ri,367,2020-07-03 19:36:36.475874,2020-07-05 01:36:39.995428,google,3302,1226,,
173012,1167,2020-12-02,leadgen_ri,15790,2020-12-01 19:41:56.690469,2020-12-03 17:41:18.686751,facebook,1758,1226,,
154177,1167,2020-07-30,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
154178,1167,2020-07-31,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
150499,1167,2020-06-20,youtube_ri,339,2020-06-19 19:37:26.518662,2020-06-21 17:37:20.722186,google,3302,1226,,
154179,1167,2020-08-01,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
150555,1167,2020-06-21,youtube_ri,430,2020-06-20 19:37:06.189740,2020-06-21 21:37:15.648259,google,3302,1226,,
150620,1167,2020-06-22,youtube_ri,142,2020-06-21 19:37:22.848571,2020-06-22 13:37:36.086587,google,3302,1226,,
