id,assignment_id,json,version,date,created_at,updated_at,enddate,startdate,status
61,1063,"[{'cpl': 1450, 'cpql': 9666.666666666666, 'cpsv': 48333.333333333336, 'leads': 344.82758620689657, 'qrate': 15, 'budget': 500000, 'qleads': 51.724137931034484, 'source': 'facebook', 'svdone': 10.344827586206897, 'svrate': 20, 'subsource': 'leadgen_ri'}, {'cpl': 1400, 'cpql': 9333.333333333332, 'cpsv': 46666.66666666666, 'leads': 142.85714285714286, 'qrate': 15, 'budget': 200000, 'qleads': 21.42857142857143, 'source': 'Facebook', 'svdone': 4.2857142857142865, 'svrate': 20, 'subsource': 'videoleadgen_ri'}, {'cpl': 1800, 'cpql': 5999.999999999999, 'cpsv': 19999.999999999996, 'leads': 172.22222222222223, 'qrate': 30, 'budget': 310000, 'qleads': 51.66666666666667, 'source': 'Google', 'svdone': 15.500000000000002, 'svrate': 30, 'subsource': 'search_ri'}, {'cpl': 1500, 'cpql': 7499.999999999999, 'cpsv': 24999.999999999993, 'leads': 66.66666666666667, 'qrate': 20, 'budget': 100000, 'qleads': 13.333333333333336, 'source': 'Portals', 'svdone': 4.000000000000001, 'svrate': 30, 'subsource': 'cf_ri'}, {'cpl': 2600, 'cpql': 2600, 'cpsv': 13000.000000000002, 'leads': 38.46153846153846, 'qrate': 100, 'budget': 100000, 'qleads': 38.46153846153846, 'source': 'Affiliate', 'svdone': 7.692307692307692, 'svrate': 20, 'subsource': 'adcanopus_cpql'}, {'cpl': 2600, 'cpql': 2600, 'cpsv': 13000.000000000002, 'leads': 19.23076923076923, 'qrate': 100, 'budget': 50000, 'qleads': 19.23076923076923, 'source': 'Affiliate', 'svdone': 3.846153846153846, 'svrate': 20, 'subsource': 'mds_cpql'}, {'cpl': 1600, 'cpql': 10666.666666666666, 'cpsv': 35555.555555555555, 'leads': 43.75, 'qrate': 15, 'budget': 70000, 'qleads': 6.5625, 'source': 'Native', 'svdone': 1.96875, 'svrate': 30, 'subsource': 'ak_taboola'}, {'cpl': 1600, 'cpql': 10666.666666666666, 'cpsv': 35555.555555555555, 'leads': 43.75, 'qrate': 15, 'budget': 70000, 'qleads': 6.5625, 'source': 'Native', 'svdone': 1.96875, 'svrate': 30, 'subsource': 'ak_columbia'}, {'cpl': 800, 'cpql': 8000, 'cpsv': 40000, 'leads': 62.5, 'qrate': 10, 'budget': 50000, 'qleads': 6.25, 'source': 'SMS', 'svdone': 1.25, 'svrate': 20, 'subsource': 'mdssms'}, {'cpl': 800, 'cpql': 8000, 'cpsv': 40000, 'leads': 62.5, 'qrate': 10, 'budget': 50000, 'qleads': 6.25, 'source': 'SMS', 'svdone': 1.25, 'svrate': 20, 'subsource': 'smsbol7'}]",june28-july30,,2019-07-25 11:20:51.359225,2019-07-26 11:17:51.066143,2019-07-31,2019-06-28,inactive
201,1337,"[{'budget': 58464, 'qleads': 14, 'source': 'facebook'}, {'budget': 44544, 'qleads': 28, 'source': 'affiliate'}, {'budget': 41760, 'qleads': 21, 'source': 'portal'}]",Jan'20,,2020-01-03 06:46:02.029202,2020-01-03 06:48:39.412625,2020-01-25,2019-12-26,active
187,1290,"[{'budget': 66000, 'qleads': 30, 'source': 'affiliate'}, {'budget': 30000, 'qleads': 12, 'source': 'portal'}]",Jan'20,,2020-01-02 13:24:06.756286,2020-01-02 13:25:14.696611,2020-01-25,2019-12-26,active
345,2229,"[{'cpl': 600, 'cpql': 2400, 'leads': 250, 'qrate': 25, 'budget': 150000, 'qleads': 62.5, 'source': 'facebook', 'subsource': 'leadgen_ri'}, {'cpl': 1000, 'cpql': 3333.3333333333335, 'leads': 50, 'qrate': 30, 'budget': 50000, 'qleads': 15, 'source': 'google', 'subsource': 'search_ri'}]",July Plan,,2021-07-06 14:57:07.881644,2021-07-06 15:01:54.962144,2021-07-22,2021-06-22,inactive
254,1588,,Test,,2020-11-20 06:00:26.993802,2020-11-20 06:00:26.993802,,,inactive
7,51,"[{'cpl': 550.05500550055, 'cpql': 3055.861141669722, 'cpsv': 12732.754756957174, 'leads': 1272.6000000000001, 'qrate': 18, 'budget': 700000, 'qleads': 229.06800000000004, 'source': 'facebook', 'svdone': 54.976320000000015, 'svrate': 24, 'subsource': 'leadgen_ri'}, {'cpl': 550, 'cpql': 3055.5555555555557, 'cpsv': 13285.024154589371, 'leads': 727.2727272727273, 'qrate': 18, 'budget': 400000, 'qleads': 130.9090909090909, 'source': 'facebook', 'svdone': 30.10909090909091, 'svrate': 23, 'subsource': 'videoleadgen_ri'}, {'cpl': 950, 'cpql': 4318.181818181818, 'cpsv': 14393.939393939394, 'leads': 1052.6315789473683, 'qrate': 22, 'budget': 1000000, 'qleads': 231.57894736842104, 'source': 'Google', 'svdone': 69.47368421052632, 'svrate': 30, 'subsource': 'search_ri'}, {'cpl': 800, 'cpql': 4000, 'cpsv': 13333.333333333334, 'leads': 250, 'qrate': 20, 'budget': 200000, 'qleads': 50, 'source': 'Linkedin', 'svdone': 15, 'svrate': 30, 'subsource': 'leadgen_ri'}, {'cpl': 500, 'cpql': 2777.777777777778, 'cpsv': 12077.294685990339, 'leads': 150, 'qrate': 18, 'budget': 75000, 'qleads': 27, 'source': 'Native', 'svdone': 6.21, 'svrate': 23, 'subsource': 'Taboola'}, {'cpl': 500, 'cpql': 2777.777777777778, 'cpsv': 12626.262626262625, 'leads': 150, 'qrate': 18, 'budget': 75000, 'qleads': 27, 'source': 'Native', 'svdone': 5.94, 'svrate': 22, 'subsource': 'Columbia'}, {'cpl': 700, 'cpql': 3500, 'cpsv': 17500, 'leads': 357.14285714285717, 'qrate': 20, 'budget': 250000, 'qleads': 71.42857142857143, 'source': 'Portals', 'svdone': 14.285714285714286, 'svrate': 20, 'subsource': 'cf_ri'}, {'cpl': 1800, 'cpql': 1818.1818181818182, 'cpsv': 6734.006734006734, 'leads': 55.55555555555556, 'qrate': 99, 'budget': 100000, 'qleads': 55, 'source': 'Affiliate', 'svdone': 14.85, 'svrate': 27, 'subsource': 'adcanopus_cpql'}, {'cpl': 1800, 'cpql': 1851.851851851852, 'cpsv': 6858.710562414266, 'leads': 27.77777777777778, 'qrate': 97.2, 'budget': 50000, 'qleads': 27, 'source': 'Affiliate', 'svdone': 7.29, 'svrate': 27, 'subsource': 'MDS_cpql'}, {'cpl': 350, 'cpql': 3500.0000000000005, 'cpsv': 14000.000000000002, 'leads': 428.57142857142856, 'qrate': 10, 'budget': 150000, 'qleads': 42.857142857142854, 'source': 'sms', 'svdone': 10.714285714285714, 'svrate': 25, 'subsource': 'sms'}]",,2019-05-23,2019-05-23 07:51:55.794437,2019-07-18 14:58:48.716206,2019-09-30,2019-05-14,active
59,914,"[{'cpl': 500, 'cpql': 1984.126984126984, 'cpsv': 9615.384615384615, 'leads': 250, 'qrate': 25.2, 'budget': 125000, 'qleads': 63, 'source': 'facebook', 'svdone': 13, 'svrate': 20.634920634920636, 'subsource': 'leadgen'}, {'cpl': 694.4444444444445, 'cpql': 3571.4285714285716, 'cpsv': 25000, 'leads': 36, 'qrate': 19.444444444444443, 'budget': 25000, 'qleads': 7, 'source': 'facebook', 'svdone': 1, 'svrate': 14.285714285714286, 'subsource': 'video ads'}, {'cpl': 1492.5373134328358, 'cpql': 5000, 'cpsv': 25000, 'leads': 67, 'qrate': 29.850746268656717, 'budget': 100000, 'qleads': 20, 'source': 'google', 'svdone': 4, 'svrate': 20, 'subsource': 'search ads'}, {'cpl': 1190.4761904761904, 'cpql': 6250, 'cpsv': 25000, 'leads': 21.000000000000004, 'qrate': 19.047619047619044, 'budget': 25000, 'qleads': 4, 'source': 'google', 'svdone': 1, 'svrate': 25, 'subsource': 'remarketing'}, {'cpl': 696.2025316455696, 'cpql': 6875, 'cpsv': 27500, 'leads': 79, 'qrate': 10.126582278481013, 'budget': 55000, 'qleads': 8, 'source': 'sms', 'svdone': 2, 'svrate': 25, 'subsource': 'sms'}]",July Plan,,2019-07-25 09:53:54.275875,2019-07-25 09:57:54.329821,2019-08-08,2019-07-09,active
66,882,"[{'cpl': 2648.068669527897, 'cpql': 26255.31914893617, 'cpsv': 105021.27659574468, 'leads': 466, 'qrate': 10.085836909871245, 'budget': 1234000, 'qleads': 47, 'source': 'facebook', 'svdone': 11.75, 'svrate': 25, 'subsource': 'Lead-gen ads'}, {'cpl': 3166.6666666666665, 'cpql': 30400, 'cpsv': 121600, 'leads': 96, 'qrate': 10.416666666666666, 'budget': 304000, 'qleads': 10, 'source': 'facebook', 'svdone': 2.5, 'svrate': 25, 'subsource': 'Video Promotion'}, {'cpl': 3000, 'cpql': 20100, 'cpsv': 67000, 'leads': 268, 'qrate': 14.925373134328359, 'budget': 804000, 'qleads': 40, 'source': 'google', 'svdone': 12, 'svrate': 30, 'subsource': 'Search'}, {'cpl': 5207.547169811321, 'cpql': 34500, 'cpsv': 115000, 'leads': 53, 'qrate': 15.09433962264151, 'budget': 276000, 'qleads': 8, 'source': 'goole', 'svdone': 2.4, 'svrate': 30, 'subsource': 'Youtube'}, {'cpl': 2500, 'cpql': 17142.85714285714, 'cpsv': 68571.42857142857, 'leads': 96, 'qrate': 14.583333333333334, 'budget': 240000, 'qleads': 14, 'source': 'Portals', 'svdone': 3.5, 'svrate': 25, 'subsource': 'Housing'}, {'cpl': 2500, 'cpql': 17142.85714285714, 'cpsv': 68571.42857142857, 'leads': 96, 'qrate': 14.583333333333334, 'budget': 240000, 'qleads': 14, 'source': 'Portals', 'svdone': 3.5, 'svrate': 25, 'subsource': '99 acres'}, {'cpl': 2500, 'cpql': 17142.85714285714, 'cpsv': 68571.42857142857, 'leads': 96, 'qrate': 14.583333333333334, 'budget': 240000, 'qleads': 14, 'source': 'Portals', 'svdone': 3.5, 'svrate': 25, 'subsource': 'Magicbricks'}, {'cpl': 2500, 'cpql': 16666.666666666668, 'cpsv': 66666.66666666667, 'leads': 60, 'qrate': 15, 'budget': 150000, 'qleads': 9, 'source': 'Portals', 'svdone': 2.25, 'svrate': 25, 'subsource': 'Commonfloor'}, {'cpl': 1000, 'cpql': 18750, 'cpsv': 75000, 'leads': 150, 'qrate': 5.333333333333333, 'budget': 150000, 'qleads': 8, 'source': 'SMS/Email', 'svdone': 2, 'svrate': 25, 'subsource': 'Total'}]",JAS Plan,,2019-07-30 09:13:05.927675,2019-08-07 10:00:01.108976,2019-09-30,2019-07-01,active
82,1092,"[{'cpl': 649.6957787481805, 'cpql': 2598.783114992722, 'cpsv': 7425.09461426492, 'leads': 687, 'qrate': 25, 'budget': 446341, 'qleads': 171.75, 'source': 'facebook', 'svdone': 60.1125, 'svrate': 35, 'subsource': 'leadgen_ri'}, {'cpl': 1102.0740740740741, 'cpql': 5009.427609427609, 'cpsv': 16698.092031425364, 'leads': 162, 'qrate': 22, 'budget': 178536, 'qleads': 35.64, 'source': 'facebook', 'svdone': 10.692, 'svrate': 30, 'subsource': 'ctw_ri'}, {'cpl': 1098.683076923077, 'cpql': 4394.732307692308, 'cpsv': 12556.378021978022, 'leads': 325, 'qrate': 25, 'budget': 357072, 'qleads': 81.25, 'source': 'google', 'svdone': 28.4375, 'svrate': 35, 'subsource': 'search_ri'}, {'cpl': 599.1140939597316, 'cpql': 5991.140939597315, 'cpsv': 19970.46979865772, 'leads': 149, 'qrate': 10, 'budget': 89268, 'qleads': 14.9, 'source': 'google', 'svdone': 4.47, 'svrate': 30, 'subsource': 'display_ri'}, {'cpl': 650.9114583333334, 'cpql': 3254.557291666667, 'cpsv': 10848.524305555557, 'leads': 192, 'qrate': 20, 'budget': 124975, 'qleads': 38.4, 'source': 'portals', 'svdone': 11.52, 'svrate': 30, 'subsource': 'housing'}, {'cpl': 650.9114583333334, 'cpql': 3254.557291666667, 'cpsv': 10848.524305555557, 'leads': 192, 'qrate': 20, 'budget': 124975, 'qleads': 38.4, 'source': 'portals', 'svdone': 11.52, 'svrate': 30, 'subsource': '99acre'}, {'cpl': 649.2242424242424, 'cpql': 3246.121212121212, 'cpsv': 10820.40404040404, 'leads': 165, 'qrate': 20, 'budget': 107122, 'qleads': 33, 'source': 'portals', 'svdone': 9.9, 'svrate': 30, 'subsource': 'magicbrics'}, {'cpl': 649.2242424242424, 'cpql': 3246.121212121212, 'cpsv': 10820.40404040404, 'leads': 165, 'qrate': 20, 'budget': 107122, 'qleads': 33, 'source': 'portals', 'svdone': 9.9, 'svrate': 30, 'subsource': 'quikr'}, {'cpl': 599.4028776978417, 'cpql': 7492.535971223022, 'cpsv': 24975.119904076742, 'leads': 417, 'qrate': 8, 'budget': 249951, 'qleads': 33.36, 'source': 'sms', 'svdone': 10.008, 'svrate': 30, 'subsource': 'sms'}]",Aug-Oct Plan,,2019-08-01 14:27:05.248204,2019-09-15 18:33:58.434029,2019-10-31,2019-08-01,active
50,866,"[{'cpl': 1500, 'cpql': 8823.529411764706, 'cpsv': 25210.084033613446, 'leads': 500, 'qrate': 17, 'budget': 750000, 'qleads': 85, 'source': 'facebook', 'svdone': 29.75, 'svrate': 35, 'subsource': 'leadgen_ri'}, {'cpl': 1500, 'cpql': 8823.529411764704, 'cpsv': 29411.76470588235, 'leads': 266.6666666666667, 'qrate': 17, 'budget': 400000, 'qleads': 45.33333333333334, 'source': 'facebook', 'svdone': 13.600000000000001, 'svrate': 30, 'subsource': 'videoleadgen_ri'}, {'cpl': 1800, 'cpql': 8181.81818181818, 'cpsv': 23376.62337662337, 'leads': 416.6666666666667, 'qrate': 22, 'budget': 750000, 'qleads': 91.66666666666669, 'source': 'google', 'svdone': 32.08333333333334, 'svrate': 35, 'subsource': 'search_ri'}, {'cpl': 1500, 'cpql': 8333.333333333334, 'cpsv': 33333.333333333336, 'leads': 133.33333333333334, 'qrate': 18, 'budget': 200000, 'qleads': 24, 'source': 'google', 'svdone': 6, 'svrate': 25, 'subsource': 'gsp_ri'}, {'cpl': 1500, 'cpql': 9374.999999999998, 'cpsv': 42613.63636363636, 'leads': 33.333333333333336, 'qrate': 16, 'budget': 50000, 'qleads': 5.333333333333334, 'source': 'google', 'svdone': 1.1733333333333333, 'svrate': 22, 'subsource': 'gdn_ri'}, {'cpl': 2400, 'cpql': 15000.000000000002, 'cpsv': 60000.00000000001, 'leads': 41.666666666666664, 'qrate': 16, 'budget': 100000, 'qleads': 6.666666666666666, 'source': 'affiliate', 'svdone': 1.6666666666666665, 'svrate': 25, 'subsource': 'proximity_ri'}, {'cpl': 1700, 'cpql': 9444.444444444443, 'cpsv': 37777.777777777774, 'leads': 88.23529411764706, 'qrate': 18, 'budget': 150000, 'qleads': 15.882352941176471, 'source': 'native', 'svdone': 3.9705882352941178, 'svrate': 25, 'subsource': 'ak_columbia'}, {'cpl': 1700, 'cpql': 9444.444444444443, 'cpsv': 31481.48148148148, 'leads': 88.23529411764706, 'qrate': 18, 'budget': 150000, 'qleads': 15.882352941176471, 'source': 'native', 'svdone': 4.764705882352941, 'svrate': 30, 'subsource': 'ak_taboola'}, {'cpl': 3000, 'cpql': 14999.999999999998, 'cpsv': 49999.999999999985, 'leads': 33.333333333333336, 'qrate': 20, 'budget': 100000, 'qleads': 6.666666666666668, 'source': 'portals', 'svdone': 2.0000000000000004, 'svrate': 30, 'subsource': 'cf_ri'}, {'cpl': 4000, 'cpql': 4000, 'cpsv': 13333.333333333334, 'leads': 50, 'qrate': 100, 'budget': 200000, 'qleads': 50, 'source': 'affiliate', 'svdone': 15, 'svrate': 30, 'subsource': 'adcanopus_cpql'}, {'cpl': 1000, 'cpql': 8333.333333333334, 'cpsv': 33333.333333333336, 'leads': 150, 'qrate': 12, 'budget': 150000, 'qleads': 18, 'source': 'sms', 'svdone': 4.5, 'svrate': 25, 'subsource': 'flytxt_ri'}]",Tata Promont June to sep,,2019-07-18 14:06:52.746902,2019-07-18 15:09:39.328910,2019-09-30,2019-06-07,active
